date,group name,rank,last rank,up down,total messages,Datedifference,"count of the hashtag ""#FIVE""","count of the hashtag ""#FOUR""","count of the hashtag ""#Three""","count of the hashtag ""#SceneType""",score,total titles
2025-08-17,Veronica Sanchez,176,175,-1,138,358,1,1,0,2,20.09113157301455,2
2025-08-17,Lottie Magne,177,176,-1,177,362,1,1,0,1,20.074539178021993,2
2025-08-17,Sky Wonderland,178,177,-1,91,7,1,0,0,1,19.980037341829373,1
2025-08-17,PE,179,178,-1,31,7,1,0,0,0,19.919012118070217,0
2025-08-17,Cheerleader Kait,180,179,-1,133,32,1,0,0,1,19.671137558235742,1
2025-08-17,Cassie Del Isla,181,181,0,286,412,0,3,0,3,19.482166787401052,3
2025-08-17,Carter Cruise,182,182,0,63,412,1,1,0,2,19.25535637242953,2
2025-08-17,Alice Nice,183,183,0,140,419,1,1,0,2,19.23521919299077,2
2025-08-17,Jayde Symz,184,184,0,52,78,1,0,0,1,18.94177741614682,1
2025-08-17,India Summer,185,185,0,53,88,1,0,0,1,18.80214752711946,1
2025-08-17,Candy Alexa,186,186,0,80,94,1,0,0,1,18.74522069215707,1
2025-08-17,Lindsey Lakes,187,188,1,315,129,0,2,0,2,18.49197173556537,2
2025-08-17,Lola Bredly,188,187,-1,349,132,1,0,0,1,18.484358602868557,1
2025-08-17,Vixi Rafi,189,189,0,445,151,0,2,0,2,18.314769706312177,2
2025-08-17,Liz Jordan,190,190,0,160,143,1,0,0,1,18.13741747432821,1
2025-08-17,Angelika Grays,191,191,0,123,145,1,0,0,1,18.07165585779206,1
2025-08-17,Lilly Bella,192,192,0,214,158,1,0,0,1,17.981369711576427,1
2025-08-17,Isabella Rose,193,193,0,122,158,1,0,0,1,17.88779770181239,1
2025-08-17,Victoria Brennan,194,194,0,94,158,1,0,0,1,17.85931926405812,1
2025-08-17,Gypsy Rose,195,195,0,108,171,1,0,0,1,17.690717414018234,1
2025-08-17,Mary Rock,196,196,0,171,201,0,2,0,2,17.332852970695306,2
2025-08-17,Leanne Lace,197,197,0,145,205,0,2,0,2,17.250149916630335,2
2025-08-17,Clemence Audiard,198,198,0,230,213,0,2,0,2,17.22408473608379,2
2025-08-17,Casey Nohrman,199,199,0,102,222,1,0,0,1,16.96731531358325,1
2025-08-17,Mila Pie,200,200,0,147,229,1,0,0,1,16.914631348139604,1
2025-08-17,Thea Lun,201,201,0,106,249,1,0,0,1,16.59163682639082,1
2025-08-17,🗂INDEX,202,202,0,3,242,1,0,0,0,16.585329742200614,1
2025-08-17,Reagan Foxx,203,203,0,99,254,0,2,0,2,16.514193728907244,3
2025-08-17,Keisha Grey,204,204,0,2,254,1,0,0,0,16.415536283829944,1
2025-08-17,Kimberly Kane,205,205,0,116,269,1,0,0,1,16.320513744837317,1
2025-08-17,Dee Vine,206,206,0,176,285,1,0,0,0,16.15650380685245,1
2025-08-17,Rebel Rhyder,207,207,0,312,19,0,1,1,2,16.03603721136757,2
2025-08-17,Candee Licious,208,208,0,171,304,0,2,0,2,15.884189116968159,2
2025-08-17,Samantha Bentley,209,209,0,32,298,1,0,0,1,15.827202200913462,1
2025-08-17,Alexa Grace,210,210,0,182,310,1,0,0,1,15.81098888900333,1
2025-08-17,Conny Carter,211,211,0,30,312,1,0,0,1,15.628262260262137,1
2025-08-17,Anny Swix,212,212,0,105,331,1,0,0,1,15.437314535390051,1
2025-08-17,Ovidie,213,213,0,15,332,1,0,0,1,15.33171200214232,1
2025-08-17,Alexis Deen,214,214,0,315,359,1,0,0,1,15.25709128549505,1
2025-08-17,Layla London,215,215,0,443,379,1,0,0,1,15.105984477334552,1
2025-08-17,Zazie Skymm,216,216,0,122,2,0,1,0,1,15.08189052881661,1
2025-08-17,Paulina Soul,217,217,0,134,361,1,0,0,1,15.044869131936935,1
2025-08-17,Jade Nile,218,218,0,127,361,1,0,0,1,15.037749522498366,1
2025-08-17,Ally Breelsen,219,219,0,145,367,1,0,0,1,14.971668903972105,1
2025-08-17,Krystal Sparks,220,220,0,129,367,0,2,0,2,14.955395510969662,2
2025-08-17,Dolly Diore,221,220,-1,141,368,1,0,0,1,14.953535858112492,1
2025-08-17,Gracie Gates,222,222,0,103,368,1,0,0,1,14.914886549731694,1
